2026-05-08 10:03:25 | INFO | mode=benchmark | max_tokens=17000 | reporters=['davis-l-ct-cas', 'mass', 'mass-app-ct', 'mass-app-dec', 'mass-app-div', 'mass-app-div-annual', 'mass-l-rptr', 'mass-supp', 'rec-co-ct', 'rep-cont-el', 'rep-cont-elect-case', 'super-ct-jud']
2026-05-08 10:07:25 | INFO | case=84 | id=mass_5/html/0300-01.html | n_tokens=2034 | text=9.34KB | kv_est=158.91MB | pt=158.93MB | kv_time=0.232s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:25 | INFO | case=85 | id=mass_5/html/0303-01.html | n_tokens=247 | text=1.12KB | kv_est=19.30MB | pt=19.32MB | kv_time=0.060s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:25 | INFO | case=86 | id=mass_5/html/0304-01.html | n_tokens=616 | text=2.57KB | kv_est=48.12MB | pt=48.15MB | kv_time=0.090s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:25 | INFO | case=87 | id=mass_5/html/0305-01.html | n_tokens=1455 | text=6.31KB | kv_est=113.67MB | pt=113.70MB | kv_time=0.172s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:26 | INFO | case=88 | id=mass_5/html/0308-01.html | n_tokens=1703 | text=7.60KB | kv_est=133.05MB | pt=133.07MB | kv_time=0.453s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:26 | INFO | case=89 | id=mass_5/html/0311-01.html | n_tokens=2702 | text=12.19KB | kv_est=211.09MB | pt=211.12MB | kv_time=0.508s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:26 | INFO | case=90 | id=mass_5/html/0315-01.html | n_tokens=413 | text=1.87KB | kv_est=32.27MB | pt=32.29MB | kv_time=0.074s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:26 | INFO | case=91 | id=mass_5/html/0316-01.html | n_tokens=283 | text=1.26KB | kv_est=22.11MB | pt=22.13MB | kv_time=0.063s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:27 | INFO | case=92 | id=mass_5/html/0317-01.html | n_tokens=1977 | text=8.91KB | kv_est=154.45MB | pt=154.48MB | kv_time=0.251s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:27 | INFO | case=93 | id=mass_5/html/0320-01.html | n_tokens=3000 | text=13.58KB | kv_est=234.38MB | pt=234.40MB | kv_time=0.348s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:27 | INFO | case=94 | id=mass_5/html/0326-01.html | n_tokens=219 | text=1021.00B | kv_est=17.11MB | pt=17.13MB | kv_time=0.067s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:27 | INFO | case=95 | id=mass_5/html/0327-01.html | n_tokens=2993 | text=13.56KB | kv_est=233.83MB | pt=233.85MB | kv_time=0.340s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:27 | INFO | case=96 | id=mass_5/html/0332-01.html | n_tokens=321 | text=1.37KB | kv_est=25.08MB | pt=25.10MB | kv_time=0.077s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:28 | INFO | case=97 | id=mass_5/html/0333-01.html | n_tokens=1230 | text=5.37KB | kv_est=96.09MB | pt=96.12MB | kv_time=0.166s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:28 | INFO | case=98 | id=mass_5/html/0335-01.html | n_tokens=1846 | text=8.36KB | kv_est=144.22MB | pt=144.24MB | kv_time=0.225s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:28 | INFO | case=99 | id=mass_5/html/0338-01.html | n_tokens=1614 | text=7.10KB | kv_est=126.09MB | pt=126.12MB | kv_time=0.211s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:30 | INFO | case=100 | id=mass_5/html/0341-01.html | n_tokens=17000 | text=105.04KB | kv_est=1.30GB | pt=1.30GB | kv_time=2.378s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:30 | INFO | PROGRESS cases=100 (skipped: not_reporter=461032, bad_id=0, unresolvable_id=41, missing_text=0, max_tokens=1, already_exists=0) | pt_total=16.17GB | kv_time_sum=32.1s | wall=174.8s
2026-05-08 10:07:31 | INFO | case=101 | id=mass_5/html/0378-01.html | n_tokens=702 | text=3.01KB | kv_est=54.84MB | pt=54.87MB | kv_time=0.122s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:31 | INFO | case=102 | id=mass_5/html/0380-01.html | n_tokens=1291 | text=5.95KB | kv_est=100.86MB | pt=100.88MB | kv_time=0.168s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:31 | INFO | case=103 | id=mass_5/html/0382-01.html | n_tokens=2649 | text=11.36KB | kv_est=206.95MB | pt=206.98MB | kv_time=0.278s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:31 | INFO | case=104 | id=mass_5/html/0386-01.html | n_tokens=2681 | text=11.43KB | kv_est=209.45MB | pt=209.48MB | kv_time=0.289s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:32 | INFO | case=105 | id=mass_5/html/0391-01.html | n_tokens=1693 | text=7.48KB | kv_est=132.27MB | pt=132.29MB | kv_time=0.387s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:32 | INFO | case=106 | id=mass_5/html/0394-01.html | n_tokens=2026 | text=8.88KB | kv_est=158.28MB | pt=158.31MB | kv_time=0.227s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:32 | INFO | case=107 | id=mass_5/html/0397-01.html | n_tokens=1323 | text=5.90KB | kv_est=103.36MB | pt=103.38MB | kv_time=0.156s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:32 | INFO | case=108 | id=mass_5/html/0399-01.html | n_tokens=1382 | text=6.23KB | kv_est=107.97MB | pt=107.99MB | kv_time=0.161s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:32 | INFO | case=109 | id=mass_5/html/0403-01.html | n_tokens=1178 | text=4.96KB | kv_est=92.03MB | pt=92.06MB | kv_time=0.141s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:32 | INFO | case=110 | id=mass_5/html/0405-01.html | n_tokens=325 | text=1.33KB | kv_est=25.39MB | pt=25.41MB | kv_time=0.069s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:33 | INFO | case=111 | id=mass_5/html/0406-01.html | n_tokens=4311 | text=20.21KB | kv_est=336.80MB | pt=336.82MB | kv_time=0.498s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:33 | INFO | case=112 | id=mass_5/html/0414-01.html | n_tokens=1639 | text=6.61KB | kv_est=128.05MB | pt=128.07MB | kv_time=0.181s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:33 | INFO | case=113 | id=mass_5/html/0416-01.html | n_tokens=2002 | text=7.47KB | kv_est=156.41MB | pt=156.43MB | kv_time=0.215s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:33 | INFO | case=114 | id=mass_5/html/0419-01.html | n_tokens=700 | text=2.87KB | kv_est=54.69MB | pt=54.71MB | kv_time=0.095s | gpu_alloc=6.35GB gpu_reserved=6.35GB
